Sample,FragmentID,Fragment,Polygonum aviculare,Scutellaria scordifolia,Cleistogenes squarrosa,Melilotus officinalis,Lactuca indica,Carex duriuscula,Calystegia hederacea,Spodiopogon sibiricus ,Sanguisorba officinalis,Cynanchum chinense,Saposhnikovia divaricata,Saussurea japonica,Calamagrostis epigeios,Setaria viridis,Anthoxanthum glabrum,Vincetoxicum amplexicaule,Artemisia scoparia,Oxybasis glauca,Bassia scoparia,Artemisia anethifolia,Thalictrum simplex,Incarvillea sinensis,Setaria pumila,Sonchus wightianus,Artemisia latifolia ,Phragmites australis,Klasea centauroides,Aster pekinensis,Iris lactea,Potentilla flagellaris,Artemisia mongolica,Allium mongolicum,Gueldenstaedtia verna,Hemarthria sibirica,Galium verum,Cynanchum thesioides,Adenophora stenophylla,Messerschmidia sibirica,Carex breviculmis,Artemisia stechmanniana,Lathyrus quinquenervius,Polygonum sibiricum,Polygala sibirica,Ixeris gracilis,Astragalus laxmannii ,Lespedeza davurica,Inula japonica,Scorzonera austriaca,Leymus chinensis,Arundinella hirta,Allium ramosum,Medicago falcata,Vicia sepium,Iris tectorum,Viola prioantha,Thalictrum squarrosum,Salsola collina,Viola philippica
A1-1-1,A1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,14,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
A1-1-2,A1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
A1-1-3,A1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0
A2-1-1,A2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
A2-1-2,A2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0
A2-1-3,A2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
A3-1-1,A3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0
A3-1-2,A3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
A3-1-3,A3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0
A4-1-1,A4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0
