Sample,FragmentID,Fragment,Transect,Quadrat,SM,TOC,TC,TN,pH,EC,X,Y
A1-1-1,A1,1,1,1,34.34472208,0.849,0.9463,0.0878,9.08,180.7,540546.7983,4937900.2637
A1-1-2,A1,1,1,2,18.27281192,1.359,1.3926,0.1493,8.44,143.1,540548.256,4937899.856
A1-1-3,A1,1,1,3,18.59728507,0.709,0.8732,0.07,9.84,380,540549.7073,4937899.4489
A2-1-1,A2,2,1,1,16.11196826,1.008,1.0357,0.0983,9.38,202,540525.8792,4937857.992
A2-1-2,A2,2,1,2,14.46073069,1.303,0.996,0.1023,8.63,142,540527.3707,4937858.2515
A2-1-3,A2,2,1,3,17.77579276,1.003,0.9939,0.0793,9.25,221,540528.8559,4937858.5087
A3-1-1,A3,3,1,1,14.83119907,1.929,1.4616,0.1431,9.18,239,540648.6573,4937856.1741
A3-1-2,A3,3,1,2,32.51565762,0.664,0.7828,0.0679,9.92,425,540649.7147,4937857.2575
A3-1-3,A3,3,1,3,19.04438406,1.495,1.3681,0.1329,9.41,285,540650.7682,4937858.3355
A4-1-1,A4,4,1,1,16.79846633,1.083,1.0791,0.1017,9.77,478,540618.6479,4937807.6942
A4-1-2,A4,4,1,2,38.90317052,1.408,1.2782,0.1253,8.68,116.6,540620.1539,4937807.849
A4-1-3,A4,4,1,3,15.78361532,1.103,1.1927,0.1093,9.67,437,540621.6534,4937808.002
A5-1-1,A5,5,1,1,12.16955333,1.671,1.3562,0.1365,8.68,111.4,540496.0518,4937927.9327
A5-1-2,A5,5,1,2,15.81416127,1.675,1.4794,0.1533,8.38,116.7,540497.5091,4937928.3432
A5-1-3,A5,5,1,3,13.42562074,0.952,0.9772,0.0861,9.41,313,540498.9601,4937928.7508
A6-1-1,A6,6,1,1,15.09303928,1.397,1.1746,0.1197,9.16,263,540507.6198,4937910.6639
A6-1-2,A6,6,1,2,20.66326531,1.962,1.6565,0.1677,8.56,154.2,540508.7241,4937911.6995
A6-1-3,A6,6,1,3,20.29283917,1.642,1.3556,0.1469,8.57,209,540509.8243,4937912.7298
A7-1-1,A7,7,1,1,15.8548233,1.547,1.4563,0.1397,8.29,129.2,540602.4864,4937750.5592
A7-1-2,A7,7,1,2,14.82180788,1.139,1.1075,0.1078,8.41,150.3,540603.8093,4937751.2951
A7-1-3,A7,7,1,3,15.86681975,1.313,1.2322,0.1124,9.54,374,540605.127,4937752.0269
A8-1-1,A8,8,1,1,12.24261415,0.808,0.9339,0.0831,9.34,208,540614.8745,4937884.1405
A8-1-2,A8,8,1,2,14.64983325,1.125,1.0256,0.0944,9.72,398,540616.2821,4937884.6981
A8-1-3,A8,8,1,3,14.4079556,0.952,1.0425,0.1015,8.91,161.4,540617.6837,4937885.2522
B1-1-1,B1,9,1,1,16.04157253,0.631,0.8117,0.0602,9.14,167.6,540597.1305,4937893.4126
B1-1-2,B1,9,1,2,17.66286098,1.014,1.1246,0.1048,9.85,540,540598.6401,4937893.5278
B1-1-3,B1,9,1,3,23.10157791,1.129,1.1601,0.1095,9.58,371,540600.143,4937893.6415
B1-2-1,B1,9,2,1,17.52978361,1.743,1.4678,0.1499,8.89,212,540601.4065,4937892.9242
B1-2-2,B1,9,2,2,17.61904762,1.492,1.4638,0.1508,8.35,140,540602.805,4937893.5041
B1-2-3,B1,9,2,3,18.09069212,1.174,1.2488,0.1173,9.47,408,540604.1977,4937894.0804
B2-1-1,B2,10,1,1,15.24051804,0.9,0.9626,0.0909,9.31,246,540614.6821,4937890.5047
B2-1-2,B2,10,1,2,16.46238885,1.163,1.0669,0.1045,9,170.4,540616.1945,4937890.5729
B2-1-3,B2,10,1,3,16.09403255,0.828,0.9488,0.0807,9.14,216,540617.7003,4937890.6398
B2-2-1,B2,10,2,1,11.06022441,1.231,1.154,0.1115,8.91,156.8,540619.4764,4937891.2123
B2-2-2,B2,10,2,2,16.90269529,1.632,1.2934,0.1323,8.32,137.4,540620.9631,4937891.4978
B2-2-3,B2,10,2,3,33.22632424,1.762,1.3601,0.1411,8.28,117,540622.4434,4937891.781
B3-1-1,B3,11,1,1,15.73193916,1.376,1.3535,0.1259,9.3,359,540586.4148,4937849.0837
B3-1-2,B3,11,1,2,12.77985075,0.97,1.0295,0.0922,8.88,164.9,540587.8982,4937849.3859
B3-1-3,B3,11,1,3,16.38850255,1.24,1.147,0.1129,8.98,254,540589.3753,4937849.6858
B3-2-1,B3,11,2,1,16.57627918,1.083,1.2101,0.1186,9,214,540590.6892,4937849.9569
B3-2-2,B3,11,2,2,18.80568264,1.669,1.431,0.1391,9.07,293,540592.1899,4937850.1568
B3-2-3,B3,11,2,3,17.54427956,1.646,1.4156,0.1387,8.54,142.1,540593.6841,4937850.3549
B4-1-1,B4,12,1,1,19.00220103,1.87,1.646,0.1739,8.32,100.8,540571.644,4937881.5916
