"","Plant_Stotal","Plant_Stotal_se","Fungal_Stotal","Fungal_Stotal_se","Bacterial_Stotal","Bacterial_Stotal_se","Plant_alpha","Plant_alpha_se","Fungal_alpha","Fungal_alpha_se","Bacterial_alpha","Bacterial_alpha_se","Plant_beta","Plant_beta_se","Fungal_beta","Fungal_beta_se","Bacterial_beta","Bacterial_beta_se","Plant_beta_within_transect","Plant_beta_within_transect_se","Fungal_beta_within_transect","Fungal_beta_within_transect_se","Bacterial_beta_within_transect","Bacterial_beta_within_transect_se"
"A1",6,0.482,1201.009,62.373,2228.587,11.635,4.66666666666667,0.333333333333333,485.333333333333,41.3373653947343,1606.33333333333,121.622823150555,0.483305443293761,0.127185025768834,0.815873015873016,0.0286504611516796,0.580709669955542,0.0560275724122342,0.483305443293761,0.127185025768834,0.815873015873016,0.0286504611516796,0.580709669955542,0.0560275724122342
"A2",7.496,1.315,1283.78,91.849,2211.178,16.531,4.66666666666667,0.333333333333333,444.666666666667,21.987370112054,1520.66666666667,256.428244240849,0.314095919410176,0.0597412248401817,0.809532828282828,0.0269458077289907,0.6726494455187,0.157366423943816,0.314095919410176,0.0597412248401817,0.809532828282828,0.0269458077289907,0.6726494455187,0.157366423943816
"A3",6,0.096,1050.678,75.888,2152.55,17.081,4,0.577350269189626,374.666666666667,22.7840099875134,1567.33333333333,127.464156181693,0.54436462652748,0.214944412576868,0.783973665223665,0.0131022921940905,0.461896970598443,0.0723499398262559,0.54436462652748,0.214944412576868,0.783973665223665,0.0131022921940905,0.461896970598443,0.0723499398262559
"A4",6,0.368,1025.665,53.524,2231.512,15.839,4,0,418.666666666667,20.62630467254,1584,125.500332004873,0.752687102408093,0.0972798971110364,0.813988095238095,0.0168088377845376,0.561373064273555,0.0588052898451738,0.752687102408093,0.0972798971110364,0.813988095238095,0.0168088377845376,0.561373064273555,0.0588052898451738
"A5",7.496,1.314,1342.17,101.701,2207.787,12.532,4.33333333333333,0.333333333333333,442,34.2685472895093,1711,15.8219257150744,0.28016115871073,0.0115974866382441,0.768777056277056,0.0364823807253172,0.447716793098319,0.111614028416646,0.28016115871073,0.0115974866382441,0.768777056277056,0.0364823807253172,0.447716793098319,0.111614028416646
"A6",8,0.552,1196.875,65.429,2222.04,9.502,5.33333333333333,0.333333333333333,468.666666666667,8.17176711475418,1823.33333333333,15.7091622239309,0.328378411823215,0.0960154608765163,0.748214285714286,0.00942360199602236,0.382137603913597,0.0569693295936436,0.328378411823215,0.0960154608765163,0.748214285714286,0.00942360199602236,0.382137603913597,0.0569693295936436
"A7",7,0.384,1078.59,52.067,2190.686,16.618,4.33333333333333,0.666666666666667,434.333333333333,45.6703161558772,1717.66666666667,92.5514871721561,0.515864091574075,0.118477617609645,0.820517676767677,0.0320678879505565,0.425438379030525,0.100916213370345,0.515864091574075,0.118477617609645,0.820517676767677,0.0320678879505565,0.425438379030525,0.100916213370345
"A8",5,0.37,1167.997,76.472,2216.174,16.786,3.33333333333333,0.333333333333333,438.666666666667,26.4344051905425,1739,55.075705472861,0.35533570050424,0.09258791377729,0.729743867243867,0.0105706204038388,0.376468838316228,0.0430960025304187,0.35533570050424,0.09258791377729,0.729743867243867,0.0105706204038388,0.376468838316228,0.0430960025304187
"B1",13.996,3.735,1357.904,57.685,2245.722,4.024,4.33333333333333,0.557773351022717,411.666666666667,12.1206893826676,1648.16666666667,59.7301803483335,0.754824066411202,0.0310938599892752,0.785813492063492,0.0162472633513954,0.48923595617036,0.0366244460239557,0.763544692973884,0.0407867200239932,0.759501262626263,0.0277810706741143,0.390376320095196,0.0534747118346667
"B2",8,0.352,1283.346,46.522,2244.976,5.475,3.5,0.428174419288838,411.833333333333,32.707202740545,1775.83333333333,29.397751236749,0.618848654133528,0.0805082956219998,0.787794011544012,0.0149735096992473,0.397117688862446,0.0231424658629116,0.268056480073934,0.0333707823091037,0.74702380952381,0.0242105427004614,0.357289239261573,0.0184118751291267
"B3",11,0.356,1543.883,85.24,2221.384,12.89,4.5,0.428174419288838,451.333333333333,16.2760901665944,1766.33333333333,31.7895859956964,0.636147082330768,0.0536982521520342,0.778398268398268,0.0104057801714348,0.344535343018163,0.0137750400929439,0.546287495890317,0.0516396204488375,0.774792568542569,0.0158039891125959,0.361016080784042,0.0203190606611439
"B4",13.499,1.32,1456.214,52.213,2253.636,8.612,5.66666666666667,0.494413232473044,439.166666666667,19.740679938757,1688.16666666667,7.2728566907677,0.721656320315103,0.0598558315446604,0.771946248196248,0.0165637239458765,0.403916902176608,0.035853378643523,0.496715161831892,0.0710848259998428,0.772186147186147,0.0302487927121971,0.408985737187433,0.0662756206948298
"B5",10.499,1.321,1436.017,76.573,2225.945,8.113,5.16666666666667,0.542627353203324,437.666666666667,9.45045560336173,1759.33333333333,11.9461755851449,0.383294498893743,0.0307715177825662,0.760919913419913,0.014153232552767,0.337088270778588,0.0146228669049357,0.281671741276074,0.0386491342831822,0.734623015873016,0.0145806369380403,0.320219148197729,0.0251742029335649
"B6",9,0.529,1474.999,68,2258.758,8.773,4.16666666666667,0.166666666666667,468.166666666667,17.8762722934932,1742.16666666667,34.3117245915218,0.651324753920147,0.0744804239169217,0.819843073593074,0.0146373317652867,0.417713652965773,0.0280975269158065,0.344080722887136,0.082656645856588,0.81082702020202,0.0247764523199795,0.424000528864429,0.0538973846693606
"B7",10,0.496,1430.127,57.73,2254.885,7.379,3.83333333333333,0.945750730607407,434.666666666667,27.6726901073563,1428.33333333333,144.997624501614,0.700148894055869,0.0797826248794841,0.803088023088023,0.030338246024724,0.589796221924736,0.0696513085816813,0.349347615109405,0.0451695828765189,0.6785579004329,0.033913783446377,0.274274050936255,0.020243101083563
"B8",7.499,1.321,1466.858,52.237,2191.105,10.678,3.5,0.61913918736689,437.666666666667,24.2688643693474,1733.66666666667,15.8275428007986,0.44980856570574,0.0611209924615365,0.746013708513709,0.010198134530004,0.286313980200638,0.00834184176743744,0.289742269859858,0.0527578756695905,0.746216630591631,0.0164167498333782,0.279736228866082,0.0141339420592022
"C1",21.495,7.186,1763.256,45.091,2262.375,3.064,5.66666666666667,0.623609564462324,531.888888888889,26.2876420292272,1746.66666666667,39.8876895517624,0.685887121246218,0.0332743161898931,0.773060215247715,0.0109166616782119,0.408926515389404,0.0194872417328482,0.58030051246184,0.0643754605184254,0.740151515151515,0.0340427042790844,0.367445088997967,0.0540112286559636
"C2",21.999,1.869,1747.346,52.837,2259.533,4.645,6.77777777777778,0.909483641319161,575.444444444444,34.4077313304531,1700.22222222222,39.7487867661733,0.604804109895649,0.029670948259739,0.753311387686388,0.0195893908298785,0.445751455754431,0.0217334880119295,0.585827912749896,0.0616975409170732,0.63001443001443,0.0404671835257747,0.326160609516254,0.02952282651675
"C3",18.997,3.737,1701.82,48.149,2255.5,3.538,4.88888888888889,0.587944735792131,527.333333333333,46.6467219284128,1685.44444444444,44.3151940055901,0.817591936274269,0.0326142181603287,0.787669853294853,0.012812148752637,0.448252543782813,0.0187263926919703,0.739664419899399,0.0615816684048759,0.778637566137566,0.0238962079128064,0.438847295905157,0.0340938301196159
"C4",13.996,4.501,1685.755,48.738,2266.562,11.12,4,0.471404520791032,453.444444444444,13.8645342021279,1673.66666666667,35.9683502849689,0.485750182110395,0.0232585285990956,0.819695466570467,0.0122230674708431,0.421718423763642,0.0156346874732854,0.420381684680837,0.0189684409695923,0.803637566137566,0.0299508425020236,0.409798315346434,0.0371195458864805
"C5",23.495,7.186,1776.823,63.637,2262.5,5.454,6,0.372677996249965,508.333333333333,18.0685423380588,1758,17.6162803489651,0.751670485436077,0.0381341258007975,0.827871723184223,0.0123374801506406,0.349874119247911,0.0182840307323503,0.596637451816282,0.0891411819917938,0.782647907647908,0.0252184818552218,0.307132508084464,0.0306899642553973
"C6",36.236,13.14,1805.64,45.612,2254.557,12.032,6.88888888888889,0.789592800197327,540.222222222222,30.682866091761,1760,23.8006769278149,0.730438212957127,0.0317922057654363,0.823636664261664,0.0120933570940072,0.340573542455143,0.00929833385601945,0.559956293970292,0.0572180316081305,0.788263588263588,0.0294037398418102,0.30105056715201,0.0184452565827962
"D1",39.16,8.271,1838.453,49.152,2241.923,10.855,7.91666666666667,0.83899591263256,521.583333333333,16.9707673499004,1742.91666666667,19.0316555806744,0.723582402755071,0.0200510199385329,0.779510199396563,0.00730251204278123,0.336658267938946,0.00913420372384052,0.598621370781638,0.0495963931192884,0.755963654401154,0.01709931135588,0.327714148776175,0.0232307511234495
"D2",30.499,2.29,1824.852,48.095,2246.5,3.273,6,0.685344416842342,515.916666666667,18.7181885023119,1570.16666666667,33.9734373363139,0.710311832712485,0.0340166087470921,0.816295667716122,0.0110728542344918,0.416558865465604,0.0206458176682239,0.465483847177988,0.0758420216925595,0.714671266233766,0.0267581369990627,0.31789710281455,0.0450830525876119
"D3",27.998,3.739,1804.119,32.078,2201.2,13.688,7.58333333333333,0.621073524819987,571.083333333333,14.4460639146538,1696.16666666667,19.1072861453003,0.748832909265994,0.0213946708684712,0.754658189033189,0.0108551870941376,0.322990427854328,0.00656423569252054,0.614152338996913,0.0504075627610113,0.730636724386724,0.0304615412207695,0.283277141487762,0.0167979238473137
