"","Fragment","plant_Srare","fungal_Srare","bacterial_Srare","rarefied_plant_Stotal","rarefied_plant_alpha","rarefied_plant_beta","rarefied_fungal_Stotal","rarefied_fungal_alpha","rarefied_fungal_beta","rarefied_bacterial_Stotal","rarefied_bacterial_alpha","rarefied_bacterial_beta"
"1",1,5.49155260929043,928,2184,6,4.66666666666667,0.483305443293761,928,485.333333333333,0.815873015873016,2184,1606.33333333333,0.580709669955542
"2",2,6.8310844472565,884,2130,7,4.66666666666667,0.314095919410176,884,444.666666666667,0.809532828282828,2130,1520.66666666667,0.6726494455187
"3",3,5.87782797358296,734,2071,6,4,0.54436462652748,734,374.666666666667,0.783973665223665,2071,1567.33333333333,0.461896970598443
"4",4,5.58627607857899,809,2159,6,4,0.752687102408093,809,418.666666666667,0.813988095238095,2159,1584,0.561373064273555
"5",5,7,863,2160,7,4.33333333333333,0.28016115871073,863,442,0.768777056277056,2160,1711,0.447716793098319
"6",6,5.71989449353021,895,2191,8,5.33333333333333,0.328378411823215,895,468.666666666667,0.748214285714286,2191,1823.33333333333,0.382137603913597
"7",7,6.96209513917706,849,2123,7,4.33333333333333,0.515864091574075,849,434.333333333333,0.820517676767677,2123,1717.66666666667,0.425438379030525
"8",8,4.6163890778562,824,2139,5,3.33333333333333,0.35533570050424,824,438.666666666667,0.729743867243867,2139,1739,0.376468838316228
"9",9,8.79969627126976,1047.78895096527,2205.45085035456,8.14,4.34966666666667,0.754278060098594,814.376,411.658666666667,0.785572438672439,2150.444,1649.1,0.488176789462376
"10",10,6.66869926974752,1037.6172132735,2197.01559200257,6.148,3.51566666666667,0.617315328820947,802.459,409.421333333333,0.788098015873016,2164.913,1775.609,0.394352273290694
"11",11,9.04978977656073,1070.56832077458,2124.30977313455,8.309,4.51733333333333,0.635028390641595,863.08,451.347666666667,0.777893551587302,2103.063,1766.92233333333,0.345209843489183
"12",12,11.6568539041165,1106.79849646143,2193.60707126254,10.537,5.67333333333333,0.724602815046185,871.438,439.534666666667,0.770987950937951,2123.618,1688.38833333333,0.402281289768126
"13",13,7.78374658989841,1074.02434491426,2146.24718313877,8.46,5.14133333333333,0.385028865031943,844.174,438.244,0.759802417027417,2114.278,1759.806,0.337474688878973
"14",14,7.76797245708109,1123.21989139125,2202.135463896,7.444,4.16733333333333,0.645415244917368,899.125,467.894333333333,0.820153643578644,2164.101,1742.68166666667,0.414404548234089
"15",15,7.79169986436052,1110.81086693451,2176.22115795002,7.594,3.81333333333333,0.704359114755989,870.59,434.500666666667,0.80440045995671,2093.614,1427.23933333333,0.593501941924075
"16",16,5.16326077331725,1051.25062461352,2087.80167993432,5.86,3.49866666666667,0.450419728216412,863.558,437.266333333333,0.746572546897547,2066.91,1733.148,0.286609582362371
"17",17,11.0676645278802,1376.12629995262,2227.01350122138,11.265,5.71133333333333,0.687946816229781,1020.423,532.562,0.774089664502165,2173.587,1747.43566666667,0.409688862445667
"18",18,14.649938180425,1414.28336391813,2212.73288969509,13.89,6.809,0.603403425470664,1065.159,573.880666666667,0.755317018398268,2153.452,1701.46366666667,0.445227692663659
"19",19,13.5474061786692,1393.12377092924,2212.94901991482,10.283,4.90866666666667,0.818650009670857,1010.061,532.523,0.785230456349206,2150.095,1691.14,0.445709289834234
"20",20,6.97173657660541,1234.47845933437,2160.05897401604,7.066,3.96433333333333,0.486466210086803,888.302,452.433333333333,0.821300252525253,2097.562,1671.05433333333,0.420954930834449
"21",21,14.0756084003138,1325.17245790128,2209.03997959229,12.005,5.999,0.748495461177094,968.568,509.007333333333,0.827354581529582,2140.323,1757.62466666667,0.351630522088353
"22",22,14.3896260225887,1409.9295576369,2148.1102961108,14.135,6.81933333333333,0.727997489316097,1033.462,539.366,0.824356358225108,2111.045,1759.35766666667,0.341812005222536
"23",23,17.7486649865918,1438.16783898591,2133.50535838869,16.396,7.92733333333333,0.724012617581555,992.557,521.029,0.778592144660895,2085.953,1743.75533333333,0.335996000462756
"24",24,15.2754230241287,1434.58632894316,2167.2081768419,13.783,6.03,0.710589178456645,982.848,515.719,0.816246311327561,2016.928,1571.992,0.411197117688862
"25",25,17.6342821763595,1483.0311829446,2056.26776071156,14.86,7.58733333333333,0.748159239531482,1050.335,572.386333333333,0.756093172799423,2015.063,1695.526,0.32183815095774
"26",26,17.8021791572852,1545.91814061221,2171.6874347329,14.889,7.92366666666667,0.69626899292242,1044.904,545.876333333333,0.823867622655123,2097.881,1664.48166666667,0.425240418463979
"27",27,15.7853971959176,1705.88439094343,2227.08260948918,15.761,7.49833333333333,0.798520066827946,1225.428,694.426666666667,0.750533044733045,2133.75,1686.248,0.437231031120366
